Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF7A-A549-Nt	NP_065090.1	PCNP	7	7	7.00	1	16|18|0	0.00	0.00	0.00	0.00	0.00	-53.45	0.41	0.54
ORF7A-A549-Nt	NP_065134.1	NUP107	21	21	21.00	1	18|17|0	0.00	0.00	0.00	0.00	0.00	-31.70	1.20	0.45
ORF7A-A549-Nt	NP_065143.2	ATP13A1	16	16	16.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	25.87	160.00	0.00
ORF7A-A549-Nt	NP_065155.3	TMEM159	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF7A-A549-Nt	NP_065156.5	SCYL3	5	5	5.00	1	0|5|0	0.15	0.15	0.15	0.15	0.15	-1.71	2.00	0.08
ORF7A-A549-Nt	NP_065203.2	YIF1A	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
ORF7A-A549-Nt	NP_065385.2	PBXIP1	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
ORF7A-A549-Nt	NP_065779.1	ESYT2	35	35	35.00	1	6|5|0	1.00	1.00	1.00	1.00	1.00	23.19	6.36	0.00
ORF7A-A549-Nt	NP_065789.1	KIDINS220	2	2	2.00	1	3|0|0	0.09	0.09	0.09	0.09	0.09	-2.35	1.33	0.09
ORF7A-A549-Nt	NP_065850.1	STAMBPL1	26	26	26.00	1	21|26|0	0.00	0.00	0.00	0.00	0.00	-45.62	1.11	0.48
ORF7A-A549-Nt	NP_065881.1	WDFY1	5	5	5.00	1	8|10|0	0.00	0.00	0.00	0.00	0.00	-25.69	0.56	0.54
ORF7A-A549-Nt	NP_065897.1	SLAIN2	16	16	16.00	1	26|31|0	0.00	0.00	0.00	0.00	0.00	-80.55	0.56	0.54
ORF7A-A549-Nt	NP_065941.2	CIP2A	23	23	23.00	1	16|21|0	0.00	0.00	0.00	0.00	0.00	-32.39	1.24	0.45
