Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF7A-A549-Nt	NP_536724.1	PIGU	18	18	18.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	28.86	180.00	0.00
ORF7A-A549-Nt	NP_563615.3	DCBLD2	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.88	50.00	0.00
ORF7A-A549-Nt	NP_570721.1	PRRC1	6	6	6.00	1	5|9|0	0.00	0.00	0.00	0.00	0.00	-16.48	0.86	0.36
ORF7A-A549-Nt	NP_612142.2	NUP35	26	26	26.00	1	2|3|0	1.00	1.00	1.00	1.00	1.00	22.99	10.40	0.00
ORF7A-A549-Nt	NP_612398.2	FAM114A1	20	20	20.00	1	16|17|0	0.00	0.00	0.00	0.00	0.00	-29.69	1.21	0.44
ORF7A-A549-Nt	NP_612468.1	NUS1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
ORF7A-A549-Nt	NP_640339.4	TSTD2	10	10	10.00	1	15|19|0	0.00	0.00	0.00	0.00	0.00	-47.25	0.59	0.54
ORF7A-A549-Nt	NP_644810.1	WDR36	39	39	39.00	1	51|55|0	0.00	0.00	0.00	0.00	0.00	-132.48	0.74	0.53
ORF7A-A549-Nt	NP_653171.1	JPT2	24	24	24.00	1	17|22|0	0.00	0.00	0.00	0.00	0.00	-34.47	1.23	0.46
ORF7A-A549-Nt	NP_653229.1	TBC1D20	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
ORF7A-A549-Nt	NP_653284.2	DHRS13	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.86	50.00	0.00
ORF7A-A549-Nt	NP_658988.2	SMCR8	24	24	24.00	1	8|7|0	1.00	1.00	1.00	1.00	1.00	5.62	3.20	0.00
ORF7A-A549-Nt	NP_689474.1	TMEM263	7	7	7.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-6.26	1.56	0.20
ORF7A-A549-Nt	NP_689485.1	CHMP7	53	53	53.00	1	16|20|0	1.00	1.00	1.00	1.00	1.00	8.49	2.94	0.00
ORF7A-A549-Nt	NP_689677.1	TMEM199	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.25	90.00	0.00
