Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF6-A549-Nt	NP_001188408.1	CORO7-PAM16	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.85	120.00	0.00
ORF6-A549-Nt	NP_001189360.1	PRDX1	12	12	12.00	1	30|22|17	0.00	0.00	0.00	0.00	0.00	-78.84	0.46	0.54
ORF6-A549-Nt	NP_001904.2	CUX1	27	27	27.00	1	16|11|0	0.00	0.00	0.00	0.00	0.00	-9.82	2.00	0.27
ORF6-A549-Nt	NP_001193765.1	RAB11A	10	10	10.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	16.80	100.00	0.00
ORF6-A549-Nt	NP_055912.2	CLASP2	3	3	3.00	1	15|8|0	0.00	0.00	0.00	0.00	0.00	-40.07	0.26	0.54
ORF6-A549-Nt	NP_001229783.1	ARFIP2	6	6	6.00	1	3|5|0	0.00	0.00	0.00	0.00	0.00	-5.93	1.50	0.19
ORF6-A549-Nt	NP_001230332.1	CLEC16A	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF6-A549-Nt	NP_001230574.1	CFL2	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF6-A549-Nt	NP_003279.2	TPD52L2	5	5	5.00	1	8|12|0	0.00	0.00	0.00	0.00	0.00	-29.59	0.50	0.54
ORF6-A549-Nt	NP_001238833.1	APPL2	16	16	16.00	1	2|2|0	1.00	1.00	1.00	1.00	1.00	12.37	8.00	0.00
ORF6-A549-Nt	NP_001239007.1	USP15	5	5	5.00	1	18|16|0	0.00	0.00	0.00	0.00	0.00	-58.19	0.29	0.54
ORF6-A549-Nt	NP_001240837.1	AKR1C3	17	17	17.00	1	16|24|0	0.00	0.00	0.00	0.00	0.00	-46.34	0.85	0.48
ORF6-A549-Nt	XP_003960901.1	LOC101060798	12	12	12.00	1	13|15|0	0.00	0.00	0.00	0.00	0.00	-32.50	0.86	0.45
ORF6-A549-Nt	NP_001242936.1	PNPLA8	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.68	80.00	0.00
ORF6-A549-Nt	NP_001243211.1	KRT8	116	116	116.00	1	90|106|0	0.00	0.00	0.00	0.00	0.00	-177.95	1.18	0.53
ORF6-A549-Nt	NP_003371.2	VIM	99	99	99.00	1	157|151|0	0.00	0.00	0.00	0.00	0.00	-410.10	0.64	0.54
ORF6-A549-Nt	NP_006112.3	KRT1	102	102	102.00	1	76|30|105	0.00	0.00	0.00	0.00	0.00	-171.33	1.13	0.53
ORF6-A549-Nt	NP_005547.3	KRT7	79	79	79.00	1	53|58|0	0.00	0.00	0.00	0.00	0.00	-82.26	1.42	0.52
ORF6-A549-Nt	NP_000414.2	KRT2	64	64	64.00	1	44|13|100	0.00	0.00	0.00	0.00	0.00	-160.34	0.89	0.53
ORF6-A549-Nt	NP_000415.2	KRT5	33	33	33.00	1	12|0|13	0.76	0.76	0.76	0.76	0.76	1.13	2.64	0.01
ORF6-A549-Nt	NP_002272.2	KRT81	37	37	37.00	1	34|24|7	0.00	0.00	0.00	0.00	0.00	-49.24	1.28	0.49
ORF6-A549-Nt	NP_002274.1	KRT85	22	22	22.00	1	27|0|0	0.00	0.00	0.00	0.00	0.00	-16.32	1.63	0.36
ORF6-A549-Nt	NP_001243415.1	GOLGB1	112	112	112.00	1	48|34|0	0.00	0.00	0.00	0.00	0.00	-7.74	2.73	0.24
ORF6-A549-Nt	NP_001243607.1	PRORP	25	25	25.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	39.13	250.00	0.00
ORF6-A549-Nt	NP_001244119.1	POM121	41	41	41.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	62.29	410.00	0.00
ORF6-A549-Nt	NP_001092885.1	POM121C	41	41	41.00	1	3|2|0	1.00	1.00	1.00	1.00	1.00	42.78	16.40	0.00
ORF6-A549-Nt	NP_001245259.1	EPB41L1	7	7	7.00	1	37|39|0	0.00	0.00	0.00	0.00	0.00	-141.95	0.18	0.54
ORF6-A549-Nt	NP_001186317.1	EPB41L2	2	2	2.00	1	31|28|0	0.00	0.00	0.00	0.00	0.00	-121.74	0.07	0.54
ORF6-A549-Nt	NP_001245308.1	SLC4A7	16	16	16.00	1	6|3|0	0.99	0.99	0.99	0.99	0.99	5.11	3.56	0.00
ORF6-A549-Nt	NP_001245380.1	PKMYT1	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.19	40.00	0.00
