Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF9b-A549-Nt	Q9UPT5	EXOC7	11	11	11.00	1	17|18|0	0.00	0.00	0.00	0.00	0.00	-47.31	0.63	0.54
ORF9b-A549-Nt	P38117	ETFB	6	6	6.00	1	4|9|0	0.00	0.00	0.00	0.00	0.00	-14.49	0.92	0.34
ORF9b-A549-Nt	Q13418	ILK	2	2	2.00	1	2|2|0	0.01	0.01	0.01	0.01	0.01	-4.57	1.00	0.15
ORF9b-A549-Nt	Q16594	TAF9	15	15	15.00	1	7|12|0	0.00	0.00	0.00	0.00	0.00	-12.42	1.58	0.32
ORF9b-A549-Nt	Q8IX01	SUGP2	47	47	47.00	1	59|44|0	0.00	0.00	0.00	0.00	0.00	-113.69	0.91	0.52
ORF9b-A549-Nt	Q56NI9	ESCO2	3	3	3.00	1	0|2|0	0.57	0.57	0.57	0.57	0.57	0.27	3.00	0.02
ORF9b-A549-Nt	A1X283	SH3PXD2B	8	8	8.00	1	14|10|0	0.00	0.00	0.00	0.00	0.00	-31.70	0.67	0.54
ORF9b-A549-Nt	P46736	BRCC3	13	13	13.00	1	10|17|0	0.00	0.00	0.00	0.00	0.00	-29.02	0.96	0.44
ORF9b-A549-Nt	Q14671	PUM1	15	15	15.00	1	12|12|0	0.00	0.00	0.00	0.00	0.00	-21.08	1.25	0.40
ORF9b-A549-Nt	Q96B97	SH3KBP1	7	7	7.00	1	14|11|0	0.00	0.00	0.00	0.00	0.00	-35.44	0.56	0.54
ORF9b-A549-Nt	Q5T0N5	FNBP1L	14	14	14.00	1	13|16|0	0.00	0.00	0.00	0.00	0.00	-31.29	0.97	0.45
ORF9b-A549-Nt	Q8NE71	ABCF1	4	4	4.00	1	4|4|0	0.00	0.00	0.00	0.00	0.00	-8.77	1.00	0.25
ORF9b-A549-Nt	P55265	ADAR	41	41	41.00	1	32|24|0	0.00	0.00	0.00	0.00	0.00	-40.01	1.46	0.47
ORF9b-A549-Nt	P55327	TPD52	10	10	10.00	1	13|16|0	0.00	0.00	0.00	0.00	0.00	-37.67	0.69	0.46
ORF9b-A549-Nt	Q9GZM8	NDEL1	3	3	3.00	1	0|4|0	0.07	0.07	0.07	0.07	0.07	-2.55	1.50	0.11
ORF9b-A549-Nt	P53367	ARFIP1	4	4	4.00	1	3|7|0	0.00	0.00	0.00	0.00	0.00	-12.17	0.80	0.31
ORF9b-A549-Nt	P23921	RRM1	2	2	2.00	1	2|0|0	0.30	0.30	0.30	0.30	0.30	-0.84	2.00	0.04
ORF9b-A549-Nt	Q9Y263	PLAA	32	32	32.00	1	44|48|0	0.00	0.00	0.00	0.00	0.00	-118.27	0.70	0.53
ORF9b-A549-Nt	Q13118	KLF10	7	7	7.00	1	5|3|0	0.01	0.01	0.01	0.01	0.01	-4.56	1.75	0.15
ORF9b-A549-Nt	O43670	ZNF207	3	3	3.00	1	0|3|0	0.26	0.26	0.26	0.26	0.26	-1.04	2.00	0.06
ORF9b-A549-Nt	Q9Y4P8	WIPI2	5	5	5.00	1	5|9|0	0.00	0.00	0.00	0.00	0.00	-18.07	0.71	0.38
ORF9b-A549-Nt	Q9Y305	ACOT9	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.69	80.00	0.00
ORF9b-A549-Nt	P62987	UBA52	4	4	4.00	1	3|2|0	0.03	0.03	0.03	0.03	0.03	-3.50	1.60	0.13
ORF9b-A549-Nt	P62805	H4C1	8	8	8.00	1	6|7|0	0.00	0.00	0.00	0.00	0.00	-11.81	1.23	0.31
ORF9b-A549-Nt	Q06265	EXOSC9	3	3	3.00	1	2|2|0	0.04	0.04	0.04	0.04	0.04	-3.18	1.50	0.12
ORF9b-A549-Nt	Q96TA1	NIBAN2	29	29	29.00	1	23|28|0	0.00	0.00	0.00	0.00	0.00	-48.34	1.14	0.49
ORF9b-A549-Nt	Q86TX2	ACOT1	41	41	41.00	1	6|10|0	1.00	1.00	1.00	1.00	1.00	22.91	5.12	0.00
ORF9b-A549-Nt	P85037	FOXK1	12	12	12.00	1	14|10|0	0.00	0.00	0.00	0.00	0.00	-25.36	1.00	0.42
ORF9b-A549-Nt	P55884	EIF3B	2	2	2.00	1	2|3|0	0.00	0.00	0.00	0.00	0.00	-6.43	0.80	0.20
ORF9b-A549-Nt	P20290	BTF3	6	6	6.00	1	3|5|0	0.00	0.00	0.00	0.00	0.00	-5.94	1.50	0.19
ORF9b-A549-Nt	P24534	EEF1B2	9	9	9.00	1	6|6|0	0.00	0.00	0.00	0.00	0.00	-8.67	1.50	0.25
ORF9b-A549-Nt	Q99714	HSD17B10	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.24	40.00	0.00
ORF9b-A549-Nt	Q9H3U1	UNC45A	14	14	14.00	1	18|8|0	0.00	0.00	0.00	0.00	0.00	-25.43	1.08	0.42
ORF9b-A549-Nt	Q9NRL3	STRN4	23	23	23.00	1	15|15|0	0.00	0.00	0.00	0.00	0.00	-20.28	1.53	0.39
ORF9b-A549-Nt	Q9NQS7	INCENP	10	10	10.00	1	7|9|0	0.00	0.00	0.00	0.00	0.00	-14.21	1.25	0.34
