Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF3B-A549-Nt	P33176	KIF5B	6|4	10	5.00	2	0|0|25|23	0.00	0.00	0.00	0.00	0.00	-90.78	0.21	0.55
ORF3B-A549-Nt	P55209	NAP1L1	4|4	8	4.00	2	0|0|8|9	0.00	0.00	0.00	0.00	0.00	-25.45	0.47	0.55
ORF3B-A549-Nt	P62316	SNRPD2	5|4	9	4.50	2	0|0|22|23	0.00	0.00	0.00	0.00	0.00	-84.46	0.20	0.55
ORF3B-A549-Nt	P21980	TGM2	3|3	6	3.00	2	0|0|9|5	0.00	0.00	0.00	0.00	0.00	-21.84	0.43	0.55
ORF3B-A549-Nt	Q14114	LRP8	7|9	16	8.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.05	80.00	0.00
ORF3B-A549-Nt	Q13838	DDX39B	6|5	11	5.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	9.11	55.00	0.00
ORF3B-A549-Nt	P51784	USP11	7|7	14	7.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.00	70.00	0.00
ORF3B-A549-Nt	Q9Y4E8	USP15	4|3	7	3.50	2	0|0|35|30	0.00	0.00	0.00	0.00	0.00	-131.26	0.11	0.55
ORF3B-A549-Nt	Q15276	RABEP1	8|8	16	8.00	2	0|0|2|0	0.98	0.98	0.98	0.98	0.98	3.77	8.00	0.00
ORF3B-A549-Nt	O14964	HGS	29|27	56	28.00	2	0|0|2|3	1.00	1.00	1.00	1.00	1.00	24.41	11.20	0.00
ORF3B-A549-Nt	Q9NR30	DDX21	15|15	30	15.00	2	0|0|4|5	0.98	0.98	0.98	0.98	0.98	3.92	3.33	0.00
ORF3B-A549-Nt	Q15836	VAMP3	4|5	9	4.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.13	45.00	0.00
ORF3B-A549-Nt	Q00610	CLTC	38|30	68	34.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	47.17	340.00	0.00
ORF3B-A549-Nt	O15126	SCAMP1	20|19	39	19.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	30.32	195.00	0.00
ORF3B-A549-Nt	O43707	ACTN4	12|6	18	9.00	2	0|0|24|18	0.00	0.00	0.00	0.00	0.00	-72.39	0.43	0.49
ORF3B-A549-Nt	P12814	ACTN1	8|0	8	4.00	2	0|0|13|0	0.00	0.00	0.00	0.00	0.00	-26.75	0.62	0.34
ORF3B-A549-Nt	P47756	CAPZB	7|3	10	5.00	2	0|0|10|10	0.00	0.00	0.00	0.00	0.00	-34.06	0.50	0.44
ORF3B-A549-Nt	P14735	IDE	9|7	16	8.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.00	80.00	0.00
ORF3B-A549-Nt	Q12965	MYO1E	16|10	26	13.00	2	0|0|23|19	0.00	0.00	0.00	0.00	0.00	-63.03	0.62	0.49
ORF3B-A549-Nt	Q01973	ROR1	3|3	6	3.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	30.00	0.00
ORF3B-A549-Nt	P07737	PFN1	12|10	22	11.00	2	7|0|8|5	0.00	0.00	0.00	0.00	0.00	-12.52	1.47	0.33
ORF3B-A549-Nt	P00533	EGFR	49|46	95	47.50	2	0|0|21|16	0.52	0.89	0.77	0.98	0.77	0.22	2.57	0.02
ORF3B-A549-Nt	Q14247	CTTN	34|43	77	38.50	2	0|0|82|82	0.00	0.00	0.00	0.00	0.00	-256.93	0.47	0.54
ORF3B-A549-Nt	Q14517	FAT1	29|23	52	26.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	36.09	260.00	0.00
ORF3B-A549-Nt	P16403	H1-2	6|7	13	6.50	2	10|6|2|0	0.00	0.00	0.00	0.00	0.00	-20.16	0.81	0.40
ORF3B-A549-Nt	Q00341	HDLBP	8|7	15	7.50	2	0|0|56|57	0.00	0.00	0.00	0.00	0.00	-222.10	0.13	0.55
ORF3B-A549-Nt	P12931	SRC	12|8	20	10.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	13.90	100.00	0.00
ORF3B-A549-Nt	Q14004	CDK13	6|4	10	5.00	2	0|0|14|12	0.00	0.00	0.00	0.00	0.00	-44.13	0.38	0.55
ORF3B-A549-Nt	P08581	MET	5|3	8	4.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	40.00	0.00
ORF3B-A549-Nt	Q16666	IFI16	52|47	99	49.50	2	0|0|51|51	0.00	0.00	0.00	0.00	0.00	-111.98	0.97	0.52
ORF3B-A549-Nt	Q15758	SLC1A5	6|6	12	6.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.42	60.00	0.00
ORF3B-A549-Nt	O14828	SCAMP3	5|5	10	5.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.81	50.00	0.00
ORF3B-A549-Nt	Q08378	GOLGA3	161|182	343	171.50	2	0|0|55|56	1.00	1.00	1.00	1.00	1.00	24.03	3.09	0.00
ORF3B-A549-Nt	P46821	MAP1B	160|160	320	160.00	2	0|0|417|397	0.00	0.00	0.00	0.00	0.00	-inf	0.39	0.55
