Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF8-A549-Nt	Q9H6S0	YTHDC2	9|6	15	7.50	2	0|0|23|17	0.00	0.00	0.00	0.00	0.00	-68.31	0.38	0.55
ORF8-A549-Nt	Q53H96	PYCR3	4|4	8	4.00	2	0|0|6|4	0.00	0.00	0.00	0.00	0.00	-12.39	0.80	0.35
ORF8-A549-Nt	Q96HY6	DDRGK1	7|9	16	8.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.05	80.00	0.00
ORF8-A549-Nt	Q9BVC6	TMEM109	3|4	7	3.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	35.00	0.00
ORF8-A549-Nt	Q8IW35	CEP97	13|8	21	10.50	2	0|0|40|34	0.00	0.00	0.00	0.00	0.00	-134.81	0.28	0.55
ORF8-A549-Nt	Q96JQ2	CLMN	16|17	33	16.50	2	0|0|26|24	0.00	0.00	0.00	0.00	0.00	-67.05	0.66	0.50
ORF8-A549-Nt	Q8WVV4	POF1B	4|6	10	5.00	2	0|0|20|21	0.00	0.00	0.00	0.00	0.00	-75.88	0.24	0.55
ORF8-A549-Nt	Q96SQ9	CYP2S1	3|4	7	3.50	2	0|0|4|3	0.00	0.00	0.00	0.00	0.00	-8.61	1.00	0.29
ORF8-A549-Nt	Q9H3N1	TMX1	5|6	11	5.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.75	55.00	0.00
ORF8-A549-Nt	Q9BX63	BRIP1	3|0	3	1.50	2	0|0|11|10	0.00	0.00	0.00	0.00	0.00	-45.75	0.14	0.55
ORF8-A549-Nt	Q9H0U3	MAGT1	3|3	6	3.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF8-A549-Nt	Q8TEP8	CEP192	15|8	23	11.50	2	0|0|10|5	0.00	0.00	0.00	0.00	0.00	-15.23	1.53	0.28
ORF8-A549-Nt	Q96A49	SYAP1	25|23	48	24.00	2	0|0|23|23	0.00	0.00	0.00	0.00	0.00	-48.31	1.04	0.48
ORF8-A549-Nt	Q5SWA1	PPP1R15B	53|55	108	54.00	2	0|0|28|21	0.00	0.00	0.00	0.00	0.00	-12.35	2.20	0.33
ORF8-A549-Nt	Q96SK2	TMEM209	5|6	11	5.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.75	55.00	0.00
ORF8-A549-Nt	Q8IUC4	RHPN2	5|4	9	4.50	2	0|0|11|10	0.00	0.00	0.00	0.00	0.00	-33.88	0.43	0.55
ORF8-A549-Nt	Q8TCS8	PNPT1	15|12	27	13.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.74	135.00	0.00
ORF8-A549-Nt	Q8TD19	NEK9	5|5	10	5.00	2	0|0|21|15	0.00	0.00	0.00	0.00	0.00	-62.51	0.28	0.55
ORF8-A549-Nt	O15260	SURF4	7|6	13	6.50	2	0|0|6|5	0.00	0.00	0.00	0.00	0.00	-11.15	1.18	0.33
ORF8-A549-Nt	Q9C0C2	TNKS1BP1	36|40	76	38.00	2	0|0|109|87	0.00	0.00	0.00	0.00	0.00	-317.80	0.39	0.55
ORF8-A549-Nt	Q5SQN1	SNAP47	7|6	13	6.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.39	65.00	0.00
ORF8-A549-Nt	Q9H490	PIGU	5|5	10	5.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.75	50.00	0.00
ORF8-A549-Nt	Q8IWE2	FAM114A1	5|7	12	6.00	2	0|0|20|18	0.00	0.00	0.00	0.00	0.00	-66.71	0.32	0.55
ORF8-A549-Nt	Q9NZ01	TECR	4|3	7	3.50	2	0|0|2|0	0.66	0.76	0.68	0.77	0.68	0.38	3.50	0.01
ORF8-A549-Nt	Q5T7W7	TSTD2	5|5	10	5.00	2	0|0|17|16	0.00	0.00	0.00	0.00	0.00	-56.25	0.30	0.55
ORF8-A549-Nt	Q8NI36	WDR36	19|24	43	21.50	2	0|0|40|37	0.00	0.00	0.00	0.00	0.00	-114.20	0.56	0.52
ORF8-A549-Nt	Q8NG31	KNL1	23|18	41	20.50	2	0|0|26|28	0.00	0.00	0.00	0.00	0.00	-71.06	0.76	0.50
ORF8-A549-Nt	Q9H910	JPT2	13|16	29	14.50	2	0|0|50|55	0.00	0.00	0.00	0.00	0.00	-186.68	0.28	0.55
ORF8-A549-Nt	Q8TEV9	SMCR8	3|5	8	4.00	2	0|0|9|4	0.00	0.00	0.00	0.00	0.00	-19.74	0.62	0.39
ORF8-A549-Nt	Q8WUX9	CHMP7	6|6	12	6.00	2	0|0|13|15	0.00	0.00	0.00	0.00	0.00	-43.61	0.43	0.55
ORF8-A549-Nt	Q69YH5	CDCA2	9|8	17	8.50	2	0|0|25|24	0.00	0.00	0.00	0.00	0.00	-82.05	0.35	0.55
ORF8-A549-Nt	P46977	STT3A	5|4	9	4.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.07	45.00	0.00
ORF8-A549-Nt	Q86TB9	PATL1	6|5	11	5.50	2	0|0|16|19	0.00	0.00	0.00	0.00	0.00	-60.42	0.31	0.55
ORF8-A549-Nt	Q6R327	RICTOR	10|12	22	11.00	2	0|0|23|19	0.00	0.00	0.00	0.00	0.00	-63.16	0.52	0.49
ORF8-A549-Nt	Q68DQ2	CRYBG3	88|73	161	80.50	2	0|0|50|43	0.00	0.00	0.00	0.00	0.00	-59.71	1.73	0.47
ORF8-A549-Nt	Q8IVT2	MISP	14|19	33	16.50	2	0|0|42|39	0.00	0.00	0.00	0.00	0.00	-133.69	0.41	0.55
ORF8-A549-Nt	Q8NB46	ANKRD52	4|4	8	4.00	2	0|0|14|11	0.00	0.00	0.00	0.00	0.00	-42.10	0.32	0.55
ORF8-A549-Nt	Q9H444	CHMP4B	8|9	17	8.50	2	0|0|12|9	0.00	0.00	0.00	0.00	0.00	-26.09	0.81	0.43
ORF8-A549-Nt	Q8NI35	PATJ	5|6	11	5.50	2	0|0|9|13	0.00	0.00	0.00	0.00	0.00	-33.70	0.50	0.45
ORF8-A549-Nt	Q86UE4	MTDH	43|36	79	39.50	2	0|0|17|12	0.59	1.00	0.58	1.00	0.59	-1.60	2.72	0.02
ORF8-A549-Nt	Q8TCJ2	STT3B	26|30	56	28.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	40.59	280.00	0.00
ORF8-A549-Nt	Q9Y679	AUP1	33|30	63	31.50	2	0|0|0|4	1.00	1.00	1.00	1.00	1.00	7.46	15.75	0.00
